rule_type,rule_name,folds,f1_mean,f1_std,precision_mean,recall_mean,accuracy_mean,tp_total,fp_total,tn_total,fn_total,n_folds_successful
single,anom_swh_p80_deseasonalized_persistence_3 > threshold,6,0.5021544365551155,0.08141687799383027,0.4170047719006729,0.6632323232323233,0.7429223744292238,283,425,1344,138,6
single,anom_swh_p75_deseasonalized_detrended_trend_3 > threshold,6,0.5017642477914506,0.052530443113742234,0.5011267321750313,0.5077308802308803,0.806392694063927,219,222,1547,202,6
single,anom_swh_p75_deseasonalized_trend_3 > threshold,6,0.5017642477914506,0.052530443113742234,0.5011267321750313,0.5077308802308803,0.806392694063927,219,222,1547,202,6
single,anom_swh_max_trend_7 > threshold,6,0.5015624377483477,0.03560978895304762,0.46328463389643143,0.5826875901875902,0.7698630136986301,255,338,1431,166,6
single,anom_swe_min > threshold,6,0.5005979606726593,0.0953318489543155,0.5826658492650789,0.4656204906204906,0.8191780821917808,196,171,1598,225,6
single,anom_swh_sd_deseasonalized_persistence_2 > threshold,6,0.5005756178139295,0.06497449710287304,0.5218590423895657,0.515443722943723,0.8013698630136986,213,227,1542,208,6
single,anom_swh_p80_persistence_3 > threshold,6,0.5005600264550564,0.08577452366564335,0.42412123150104747,0.6184126984126984,0.7657534246575343,268,360,1409,153,6
or_2,anom_swh_p80_trend_3 > t1 OR anom_swh_p80_deseasonalized_detrended_abs_change_14_lag_1 > t2,6,0.5004140356231617,0.0330825310544871,0.3822965494158892,0.7779220779220779,0.6881278538812786,339,601,1168,82,6
single,anom_swh_p80_rolling_mean_3 > threshold,6,0.49992053683314097,0.08386995814722122,0.4245132460452705,0.616329365079365,0.7657534246575343,267,359,1410,154,6
or_2,anom_swh_p80_trend_3 > t1 OR anom_swh_p75_deseasonalized_detrended_trend_5 > t2,6,0.49968983206610734,0.035898825958280166,0.3935779223875066,0.714673520923521,0.719634703196347,304,497,1272,117,6
single,anom_swh_p75_trend_7 > threshold,6,0.49949658428303584,0.034317419689044996,0.4382103211975021,0.606540404040404,0.7593607305936073,265,371,1398,156,6
single,anom_swh_p75_deseasonalized_detrended_rolling_mean_3 > threshold,6,0.4989092385201193,0.07938486615188578,0.4298231600259718,0.6205537518037517,0.7570776255707762,267,378,1391,154,6
single,anom_swh_mean_deseasonalized_rolling_mean_3 > threshold,6,0.497903261570658,0.07955929461042921,0.40198784629524664,0.6870274170274171,0.7264840182648401,300,478,1291,121,6
single,anom_swh_p80_deseasonalized_detrended_abs_change_7 > threshold,6,0.49768230775181616,0.05374390569467574,0.4770631652170266,0.5263077200577201,0.7954337899543379,227,254,1515,194,6
