rule_idx,rule_name,rule_type,complexity,n_folds_successful,accuracy_mean,precision_mean,recall_mean,f1_mean,accuracy_std,precision_std,recall_std,f1_std,feature,feature1,feature2,thresholds_fold_0,thresholds_fold_1,thresholds_fold_2,thresholds_fold_3,thresholds_fold_4,thresholds_fold_5,thresholds_mean
854,(anom_swh_max_ma_2_swan > t1) OR (swh_max_rel_change_5_swan > t2),or,2,6,0.739269406392694,0.48903525681504023,0.6737206101725407,0.559474640014972,0.055190728887356606,0.059605512069524844,0.09414104885065223,0.03541888817798867,anom_swh_max_ma_2_swan + swh_max_rel_change_5_swan,anom_swh_max_ma_2_swan,swh_max_rel_change_5_swan,anom_swh_max_ma_2:0.3656 | swh_max_rel_change_5:25.5283,anom_swh_max_ma_2:0.4195 | swh_max_rel_change_5:33.0446,anom_swh_max_ma_2:0.3636 | swh_max_rel_change_5:40.9847,anom_swh_max_ma_2:0.136 | swh_max_rel_change_5:32.6353,anom_swh_max_ma_2:0.623 | swh_max_rel_change_5:7.8299,anom_swh_max_ma_2:0.6207 | swh_max_rel_change_5:25.9436,anom_swh_max_ma_2:0.4214 | swh_max_rel_change_5:27.6611
888,(anom_swh_max_ma_3_swan > t1) OR (swh_max_trend_5_swan > t2),or,2,6,0.7246575342465752,0.46336717646899256,0.709579196105737,0.559120722373966,0.05553720428335345,0.050260997688921984,0.06949373358398146,0.04964118147571228,anom_swh_max_ma_3_swan + swh_max_trend_5_swan,anom_swh_max_ma_3_swan,swh_max_trend_5_swan,anom_swh_max_ma_3:0.358 | swh_max_trend_5:0.1152,anom_swh_max_ma_3:0.4158 | swh_max_trend_5:0.0373,anom_swh_max_ma_3:0.3573 | swh_max_trend_5:0.088,anom_swh_max_ma_3:0.5836 | swh_max_trend_5:0.0019,anom_swh_max_ma_3:0.4948 | swh_max_trend_5:0.0343,anom_swh_max_ma_3:0.4179 | swh_max_trend_5:0.1144,anom_swh_max_ma_3:0.4379 | swh_max_trend_5:0.0652
1125,(anom_swh_max_trend_7_swan > t1) OR (swh_max_abs_change_14_swan > t2),or,2,6,0.7456621004566211,0.4944316852357626,0.6525267405573382,0.5587348926054229,0.05725998266659567,0.06970747216089179,0.06856042743849053,0.050624787586185084,anom_swh_max_trend_7_swan + swh_max_abs_change_14_swan,anom_swh_max_trend_7_swan,swh_max_abs_change_14_swan,anom_swh_max_trend_7:0.0778 | swh_max_abs_change_14:0.41,anom_swh_max_trend_7:0.0949 | swh_max_abs_change_14:0.0237,anom_swh_max_trend_7:0.0739 | swh_max_abs_change_14:0.677,anom_swh_max_trend_7:0.0471 | swh_max_abs_change_14:0.463,anom_swh_max_trend_7:0.0921 | swh_max_abs_change_14:0.4815,anom_swh_max_trend_7:0.1171 | swh_max_abs_change_14:0.475,anom_swh_max_trend_7:0.0838 | swh_max_abs_change_14:0.4217
1177,(swh_max_abs_change_5_swan > t1) OR (swh_max_ma_14_swan > t2),or,2,6,0.7141552511415526,0.4693009794029847,0.7231390157715284,0.558644386102172,0.07445583186878194,0.060670671431275046,0.12196992053820206,0.027117863332070814,swh_max_abs_change_5_swan + swh_max_ma_14_swan,swh_max_abs_change_5_swan,swh_max_ma_14_swan,swh_max_abs_change_5:0.3687 | swh_max_ma_14:2.2239,swh_max_abs_change_5:0.2955 | swh_max_ma_14:2.2057,swh_max_abs_change_5:0.5125 | swh_max_ma_14:2.1282,swh_max_abs_change_5:0.5415 | swh_max_ma_14:1.9039,swh_max_abs_change_5:0.139 | swh_max_ma_14:2.2249,swh_max_abs_change_5:0.6775 | swh_max_ma_14:2.1302,swh_max_abs_change_5:0.4225 | swh_max_ma_14:2.1361
1204,(swh_max_abs_change_7_swan > t1) OR (swh_max_trend_7_swan > t2),or,2,6,0.7251141552511416,0.47647978545683783,0.6958778276116323,0.5586177404689683,0.06482731880884494,0.06687523820360275,0.0654979933207313,0.023089150565591708,swh_max_abs_change_7_swan + swh_max_trend_7_swan,swh_max_abs_change_7_swan,swh_max_trend_7_swan,swh_max_abs_change_7:0.1645 | swh_max_trend_7:0.0805,swh_max_abs_change_7:0.2775 | swh_max_trend_7:0.0285,swh_max_abs_change_7:0.723 | swh_max_trend_7:0.0754,swh_max_abs_change_7:0.0125 | swh_max_trend_7:0.0996,swh_max_abs_change_7:0.1425 | swh_max_trend_7:0.1217,swh_max_abs_change_7:0.5825 | swh_max_trend_7:0.0986,swh_max_abs_change_7:0.3171 | swh_max_trend_7:0.0841
686,(anom_swh_max_abs_change_14_swan > t1) OR (swh_max_abs_change_7_swan > t2),or,2,6,0.7493150684931505,0.5021774079010822,0.6396654016155624,0.5584638494017271,0.055266234400311184,0.04601160226247575,0.07313557742089805,0.03233629152158487,anom_swh_max_abs_change_14_swan + swh_max_abs_change_7_swan,anom_swh_max_abs_change_14_swan,swh_max_abs_change_7_swan,anom_swh_max_abs_change_14:0.4026 | swh_max_abs_change_7:0.6157,anom_swh_max_abs_change_14:0.4413 | swh_max_abs_change_7:0.151,anom_swh_max_abs_change_14:0.5429 | swh_max_abs_change_7:0.4325,anom_swh_max_abs_change_14:0.3575 | swh_max_abs_change_7:0.4475,anom_swh_max_abs_change_14:0.5606 | swh_max_abs_change_7:0.1425,anom_swh_max_abs_change_14:0.6788 | swh_max_abs_change_7:0.5825,anom_swh_max_abs_change_14:0.4973 | swh_max_abs_change_7:0.3953
1273,(swh_max_rel_change_3_swan > t1) OR (swh_max_trend_5_swan > t2),or,2,6,0.739269406392694,0.48515288240212834,0.6677184416776479,0.5583704648503763,0.061372648882191044,0.07409473328282787,0.08444267088341274,0.06498181020763168,swh_max_rel_change_3_swan + swh_max_trend_5_swan,swh_max_rel_change_3_swan,swh_max_trend_5_swan,swh_max_rel_change_3:18.5651 | swh_max_trend_5:0.0734,swh_max_rel_change_3:7.3078 | swh_max_trend_5:0.0373,swh_max_rel_change_3:18.4633 | swh_max_trend_5:0.088,swh_max_rel_change_3:18.4587 | swh_max_trend_5:0.034,swh_max_rel_change_3:6.298 | swh_max_trend_5:0.1433,swh_max_rel_change_3:32.1138 | swh_max_trend_5:0.143,swh_max_rel_change_3:16.8678 | swh_max_trend_5:0.0865
1102,(anom_swh_max_trend_3_swan > t1) OR (swh_max_trend_14_swan > t2),or,2,6,0.7406392694063927,0.4820096878065443,0.6782033270499345,0.5583209102242989,0.029789052840730773,0.07393075148439182,0.08658818989104745,0.06201852707912322,anom_swh_max_trend_3_swan + swh_max_trend_14_swan,anom_swh_max_trend_3_swan,swh_max_trend_14_swan,anom_swh_max_trend_3:0.2202 | swh_max_trend_14:0.0384,anom_swh_max_trend_3:0.0927 | swh_max_trend_14:0.0479,anom_swh_max_trend_3:0.1237 | swh_max_trend_14:0.0508,anom_swh_max_trend_3:0.0876 | swh_max_trend_14:0.0531,anom_swh_max_trend_3:0.1251 | swh_max_trend_14:0.0549,anom_swh_max_trend_3:0.2115 | swh_max_trend_14:0.0287,anom_swh_max_trend_3:0.1435 | swh_max_trend_14:0.0456
1096,(anom_swh_max_trend_3_swan > t1) OR (swh_max_ma_7_swan > t2),or,2,6,0.7429223744292238,0.49930225444532544,0.6693043778285964,0.5579510278718075,0.059425675747557444,0.05271978023632361,0.14667147576852496,0.05972529451406739,anom_swh_max_trend_3_swan + swh_max_ma_7_swan,anom_swh_max_trend_3_swan,swh_max_ma_7_swan,anom_swh_max_trend_3:0.2202 | swh_max_ma_7:2.1139,anom_swh_max_trend_3:0.1232 | swh_max_ma_7:2.0635,anom_swh_max_trend_3:0.0884 | swh_max_ma_7:2.3564,anom_swh_max_trend_3:0.0395 | swh_max_ma_7:2.366,anom_swh_max_trend_3:0.1251 | swh_max_ma_7:2.3566,anom_swh_max_trend_3:0.2824 | swh_max_ma_7:2.2724,anom_swh_max_trend_3:0.1465 | swh_max_ma_7:2.2548
93,(anom_swh_max_abs_change_3_swan > t1) AND (swh_max_ma_3_swan > t2),and,2,6,0.7890410958904109,0.5758590659978982,0.5468924644186937,0.5578964744630122,0.036723231530380075,0.11372483617739022,0.062338571583066514,0.07724776840507029,anom_swh_max_abs_change_3_swan + swh_max_ma_3_swan,anom_swh_max_abs_change_3_swan,swh_max_ma_3_swan,anom_swh_max_abs_change_3:-0.0034 | swh_max_ma_3:1.875,anom_swh_max_abs_change_3:0.102 | swh_max_ma_3:1.8483,anom_swh_max_abs_change_3:0.2155 | swh_max_ma_3:1.8608,anom_swh_max_abs_change_3:0.0079 | swh_max_ma_3:1.8675,anom_swh_max_abs_change_3:-0.0018 | swh_max_ma_3:1.8783,anom_swh_max_abs_change_3:-0.0051 | swh_max_ma_3:1.9677,anom_swh_max_abs_change_3:0.0525 | swh_max_ma_3:1.8829
