rule_type,rule_name,folds,f1_mean,f1_std,precision_mean,recall_mean,accuracy_mean,tp_total,fp_total,tn_total,fn_total,n_folds_successful,run,source_file,combination_id,type,description,features,thresholds,f1_score,mean_loss,max_loss,zero_prob,std_loss,min_loss,p99_loss,mean_events,std_events,p99_events,max_events,mean_tp,mean_fp,mean_fn,p99_tp,p99_fp,p99_fn,mean_tp_cost,mean_fp_cost,mean_fn_cost,p99_tp_cost,p99_fp_cost,p99_fn_cost,obs_tp,obs_fp,obs_tn,obs_fn,obs_precision,obs_recall,obs_accuracy,obs_f1,method,rule_features,min_days,n_fishermen,daily_wage,n_simulations,block_length,window_days,trigger_features,trigger_thresholds,n_jobs,obs_mean_yearly_loss,obs_yearly_losses_by_year,rule_description
and_2,anom_swh_p80_trend_3 > t1 AND anom_swh_mean_trend_5 > t2,6.0,0.421243311536004,0.0627314129001158,0.6463013402439772,0.328657302629376,0.7831050228310502,180.0,113.0,1535.0,362.0,6.0,run_g8,rule_cv_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single,anom_swh_sd_persistence_14_lag_3 > threshold,6.0,0.4212360531577482,0.0840794097378856,0.3104646729556748,0.7483425762329939,0.4917808219178082,407.0,978.0,670.0,135.0,6.0,run_g8,rule_cv_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single,anom_swh_p80_trend_14 > threshold,6.0,0.4211989913958416,0.0551539394915407,0.2973500398316089,0.7607425088358247,0.4831050228310502,424.0,1014.0,634.0,118.0,6.0,run_g8,rule_cv_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
piecewise,anom_swh_p80_trend_14 > t1 if anom_swh_p80_abs_change_5 > t2 else anom_swh_p80_trend_14 > t3,6.0,0.4211989913958416,0.0551539394915407,0.2973500398316089,0.7607425088358247,0.4831050228310502,424.0,1014.0,634.0,118.0,6.0,run_g8,rule_cv_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single,anom_swh_min_trend_5_lag_1 > threshold,6.0,0.4205441316880591,0.0547658981874466,0.3287763615366883,0.7409606074543303,0.4926940639269406,419.0,988.0,660.0,123.0,6.0,run_g8,rule_cv_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
and_2,anom_swh_p80_trend_3 > t1 AND anom_swh_p80_trend_5_lag_1 > t2,6.0,0.4204495965723477,0.1855950529233405,0.6291604948057347,0.3860657132248807,0.7767123287671233,219.0,166.0,1482.0,323.0,6.0,run_g8,rule_cv_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single,anom_swh_max_persistence_7 > threshold,6.0,0.4201731431726684,0.059561152537375,0.2971078585294562,0.7921867861825627,0.4634703196347032,421.0,1054.0,594.0,121.0,6.0,run_g8,rule_cv_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single,anom_swh_max_deseasonalized_trend_14 > threshold,6.0,0.4199772066629079,0.0534691234244951,0.3082306202051042,0.6740077490330328,0.5488584474885845,371.0,817.0,831.0,171.0,6.0,run_g8,rule_cv_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single,anom_swh_max_deseasonalized_detrended_trend_14 > threshold,6.0,0.4199772066629079,0.0534691234244951,0.3082306202051042,0.6740077490330328,0.5488584474885845,371.0,817.0,831.0,171.0,6.0,run_g8,rule_cv_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
single,anom_swh_p80_deseasonalized_abs_change_14_lag_1 > threshold,6.0,0.4199060025640866,0.058759121563609,0.3580798902787734,0.6154478275985007,0.5748858447488585,346.0,735.0,913.0,196.0,6.0,run_g8,rule_cv_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
