run_name,exceedance_probability,tp_loss,return_period
run_g10,0.675,2803080,1.4814814814814814
run_g10,0.674,2803080,1.4836795252225519
run_g10,0.673,2803080,1.4858841010401187
run_g10,0.672,2803080,1.488095238095238
run_g10,0.671,2803080,1.4903129657228018
run_g10,0.67,2803080,1.4925373134328357
run_g10,0.669,2803080,1.4947683109118086
run_g10,0.668,2803080,1.497005988023952
run_g10,0.667,2803080,1.4992503748125936
run_g10,0.666,2803080,1.5015015015015014
run_g10,0.665,2803080,1.5037593984962405
run_g10,0.664,2803080,1.506024096385542
run_g10,0.663,2803080,1.5082956259426847
run_g10,0.662,2803080,1.510574018126888
run_g10,0.661,2803080,1.51285930408472
run_g10,0.66,2803080,1.5151515151515151
run_g10,0.659,2803080,1.5174506828528072
run_g10,0.658,2803080,1.519756838905775
run_g10,0.657,2803080,1.5220700152207
run_g10,0.656,2803080,1.524390243902439
run_g10,0.655,2803080,1.5267175572519083
run_g10,0.654,2803080,1.529051987767584
run_g10,0.653,2803080,1.5313935681470137
run_g10,0.652,2803080,1.5337423312883436
run_g10,0.651,2842560,1.5360983102918586
run_g10,0.65,2842560,1.5384615384615383
run_g10,0.649,2842560,1.5408320493066254
run_g10,0.648,2842560,1.5432098765432098
run_g10,0.647,2842560,1.5455950540958268
run_g10,0.646,2842560,1.547987616099071
run_g10,0.645,2842560,1.5503875968992247
run_g10,0.644,2842560,1.5527950310559007
run_g10,0.643,2842560,1.5552099533437014
run_g10,0.642,2842560,1.557632398753894
run_g10,0.641,2842560,1.5600624024960998
run_g10,0.64,2842560,1.5625
run_g10,0.639,2842560,1.5649452269170578
run_g10,0.638,2842560,1.567398119122257
run_g10,0.637,2842560,1.5698587127158556
run_g10,0.636,2842560,1.572327044025157
run_g10,0.635,2842560,1.574803149606299
run_g10,0.634,2842560,1.5772870662460567
run_g10,0.633,2842560,1.5797788309636651
run_g10,0.632,2842560,1.5822784810126582
run_g10,0.631,2842560,1.5847860538827259
run_g10,0.63,2842560,1.5873015873015872
run_g10,0.629,2842560,1.589825119236884
run_g10,0.628,2842560,1.5923566878980893
run_g10,0.627,2842560,1.594896331738437
run_g10,0.626,2842560,1.597444089456869
run_g10,0.625,2842560,1.6
run_g10,0.624,2842560,1.6025641025641026
run_g10,0.623,2882040,1.6051364365971108
run_g10,0.622,2882040,1.607717041800643
run_g10,0.621,2882040,1.6103059581320451
run_g10,0.62,2882040,1.6129032258064517
run_g10,0.619,2882040,1.6155088852988693
run_g10,0.618,2882040,1.6181229773462784
run_g10,0.617,2882040,1.6207455429497568
run_g10,0.616,2882040,1.6233766233766234
run_g10,0.615,2882040,1.6260162601626016
run_g10,0.614,2882040,1.6286644951140066
run_g10,0.613,2882040,1.6313213703099512
run_g10,0.612,2882040,1.6339869281045751
run_g10,0.611,2882040,1.6366612111292962
run_g10,0.61,2882040,1.639344262295082
run_g10,0.609,2882040,1.6420361247947455
run_g10,0.608,2882040,1.6447368421052633
run_g10,0.607,2882040,1.6474464579901154
run_g10,0.606,2882040,1.6501650165016502
run_g10,0.605,2882040,1.6528925619834711
run_g10,0.604,2882040,1.6556291390728477
run_g10,0.603,2882040,1.658374792703151
run_g10,0.602,2882040,1.6611295681063123
run_g10,0.601,2882040,1.663893510815308
run_g10,0.6,2882040,1.6666666666666667
run_g10,0.599,2882040,1.669449081803005
run_g10,0.598,2882040,1.6722408026755853
run_g10,0.597,2882040,1.6750418760469012
run_g10,0.596,2882040,1.6778523489932886
run_g10,0.595,2882040,1.680672268907563
run_g10,0.594,2882040,1.6835016835016836
run_g10,0.593,2882040,1.6863406408094437
run_g10,0.592,2882040,1.6891891891891893
run_g10,0.591,2882040,1.6920473773265652
run_g10,0.59,2882040,1.6949152542372883
run_g10,0.589,2882040,1.697792869269949
run_g10,0.588,2882040,1.7006802721088436
run_g10,0.587,2882040,1.7035775127768313
run_g10,0.586,2882040,1.7064846416382253
run_g10,0.585,2882040,1.7094017094017095
run_g10,0.584,2882040,1.7123287671232879
run_g10,0.583,2882040,1.7152658662092626
run_g10,0.582,2882040,1.718213058419244
run_g10,0.581,2882040,1.721170395869191
run_g10,0.58,2921520,1.7241379310344829
run_g10,0.579,2921520,1.7271157167530227
run_g10,0.578,2921520,1.7301038062283738
run_g10,0.577,2921520,1.733102253032929
run_g10,0.576,2921520,1.7361111111111112
run_g10,0.575,2921520,1.7391304347826089
run_g10,0.574,2921520,1.7421602787456447
run_g10,0.573,2921520,1.7452006980802794
run_g10,0.572,2921520,1.7482517482517483
run_g10,0.571,2921520,1.7513134851138354
run_g10,0.57,2921520,1.7543859649122808
run_g10,0.569,2921520,1.7574692442882252
run_g10,0.568,2921520,1.7605633802816902
run_g10,0.567,2921520,1.7636684303350971
run_g10,0.566,2921520,1.76678445229682
run_g10,0.565,2921520,1.7699115044247788
run_g10,0.564,2921520,1.773049645390071
run_g10,0.563,2921520,1.7761989342806397
run_g10,0.562,2921520,1.779359430604982
run_g10,0.561,2921520,1.7825311942959
run_g10,0.56,2921520,1.7857142857142856
run_g10,0.559,2921520,1.7889087656529514
run_g10,0.558,2921520,1.7921146953405016
run_g10,0.557,2921520,1.7953321364452421
run_g10,0.556,2921520,1.7985611510791366
run_g10,0.555,2921520,1.8018018018018016
run_g10,0.554,2921520,1.8050541516245486
run_g10,0.553,2921520,1.8083182640144664
run_g10,0.552,2921520,1.8115942028985506
run_g10,0.551,2921520,1.8148820326678765
run_g10,0.55,2921520,1.8181818181818181
run_g10,0.549,2921520,1.8214936247723132
run_g10,0.548,2921520,1.824817518248175
run_g10,0.547,2961000,1.8281535648994514
run_g10,0.546,2961000,1.8315018315018314
