feature,enhanced_score,method_count,consensus_score,methods,best_position,avg_position
anom_swh_sd_deseasonalized_detrended,5.130755757749612,3,0.6,"random_forest, f_test, domain_selection",60,92.33333333333333
swh_p75_deseasonalized_detrended_max_5d,5.125825174663546,3,0.6,"random_forest, extra_trees, domain_selection",69,98.66666666666667
anom_swh_max_deseasonalized_detrended_std_7d,5.1197802947663344,3,0.6,"extra_trees, mutual_info, domain_selection",48,103.0
swh_p80_deseasonalized_detrended_lag_14d,5.091748693671276,3,0.6,"extra_trees, mutual_info, domain_selection",32,111.66666666666667
anom_swh_p25_deseasonalized_detrended_max_7d,5.085846342163332,3,0.6,"random_forest, mutual_info, domain_selection",69,108.0
swh_cv_deseasonalized_detrended_mean_14d,5.0066282680936265,3,0.6,"random_forest, extra_trees, domain_selection",23,105.33333333333333
swh_max_deseasonalized_detrended_lag_3d,4.982039390920028,3,0.6,"random_forest, extra_trees, domain_selection",77,104.33333333333333
swh_range_swan,4.970901004094475,3,0.6,"random_forest, f_test, domain_selection",24,98.0
swh_p80_deseasonalized_detrended_max_14d,4.9401785434173995,3,0.6,"random_forest, mutual_info, domain_selection",10,120.66666666666667
swh_max_deseasonalized_detrended_std_7d,4.904953652140326,3,0.6,"random_forest, mutual_info, domain_selection",71,114.33333333333333
anom_swh_p75_deseasonalized_detrended_std_14d,4.88333565668224,2,0.4,"mutual_info, domain_selection",13,33.0
anom_swh_p80_deseasonalized_detrended_std_14d,4.8623540490680925,2,0.4,"mutual_info, domain_selection",12,34.5
swh_iqr_deseasonalized,4.854859098579932,3,0.6,"random_forest, extra_trees, f_test",36,75.33333333333333
swh_iqr_deseasonalized_detrended_mean_2d,4.811569698197471,4,0.8,"random_forest, extra_trees, f_test, domain_selection",130,161.75
anom_swh_sd_deseasonalized_detrended_min_3d,4.777721412227567,3,0.6,"random_forest, extra_trees, domain_selection",54,111.66666666666667
anom_swh_p75_deseasonalized_detrended_max_2d,4.765319287552222,3,0.6,"extra_trees, f_test, domain_selection",49,109.66666666666667
swh_cv_deseasonalized_detrended_max_5d,4.715537680104739,3,0.6,"random_forest, extra_trees, domain_selection",65,115.33333333333333
swh_iqr_deseasonalized_detrended_std_7d,4.7083262057087465,3,0.6,"random_forest, mutual_info, domain_selection",29,128.0
swh_max_deseasonalized_detrended_max_7d,4.705258283763208,3,0.6,"random_forest, extra_trees, mutual_info",81,94.66666666666667
anom_swh_mean_deseasonalized_detrended_std_14d,4.701297536755366,3,0.6,"random_forest, mutual_info, domain_selection",73,123.0
anom_swe_p80,4.691271956277771,3,0.6,"random_forest, extra_trees, domain_selection",93,127.0
anom_swh_mean_deseasonalized_detrended_lag_1d,4.657435342737366,3,0.6,"random_forest, extra_trees, domain_selection",58,137.0
swh_iqr_deseasonalized_detrended_min_3d,4.638076369752889,3,0.6,"random_forest, extra_trees, domain_selection",38,121.33333333333333
anom_swh_min_deseasonalized_detrended_lag_14d,4.630239002339461,3,0.6,"random_forest, mutual_info, domain_selection",69,137.66666666666666
anom_swh_min_deseasonalized_detrended_std_7d,4.6269498780831775,3,0.6,"random_forest, mutual_info, domain_selection",91,131.33333333333334
swh_p80_deseasonalized_detrended_std_14d,4.554637663421695,2,0.4,"mutual_info, domain_selection",9,40.5
swh_iqr_deseasonalized_detrended_lag_14d,4.528933815053551,3,0.6,"random_forest, mutual_info, domain_selection",83,141.33333333333334
swh_sd_deseasonalized_detrended_lag_14d,4.520442498010312,3,0.6,"random_forest, mutual_info, domain_selection",58,136.66666666666666
anom_swh_median_deseasonalized_detrended_std_2d,4.516336176862426,3,0.6,"extra_trees, f_test, domain_selection",25,106.66666666666667
anom_swh_p75_deseasonalized_detrended_max_14d,4.506567558225251,2,0.4,"mutual_info, domain_selection",38,46.5
swh_p25_deseasonalized_detrended_mean_14d,4.467838047226394,3,0.6,"random_forest, extra_trees, mutual_info",12,118.33333333333333
swh_max_deseasonalized_detrended_std_14d,4.464648404146367,3,0.6,"random_forest, extra_trees, mutual_info",37,111.66666666666667
swh_sd_deseasonalized_detrended_lag_5d,4.418750900031516,2,0.4,"random_forest, extra_trees",14,19.5
swh_p75_deseasonalized_detrended_std_14d,4.397984500317512,2,0.4,"mutual_info, domain_selection",17,47.5
swh_p75_deseasonalized_detrended_lag_1d,4.397942232284833,2,0.4,"random_forest, domain_selection",54,62.0
duracion,4.393737211708637,2,0.4,"random_forest, extra_trees",3,20.0
anom_swh_p75_deseasonalized_detrended_std_7d,4.3814083482008,2,0.4,"mutual_info, domain_selection",8,68.5
anom_swh_p80_deseasonalized_detrended_std_7d,4.372282299449444,2,0.4,"mutual_info, domain_selection",7,70.0
swh_median_deseasonalized_detrended_min_14d,4.3556889618570755,3,0.6,"random_forest, extra_trees, mutual_info",6,128.66666666666666
anom_swh_mean_deseasonalized_detrended_std_2d,4.328546536516382,3,0.6,"extra_trees, f_test, domain_selection",75,111.33333333333333
anom_swh_p75_deseasonalized_detrended_max_3d,4.275855014640054,2,0.4,"random_forest, domain_selection",27,77.5
swh_range_deseasonalized_detrended_max_3d,4.258595775673419,3,0.6,"random_forest, extra_trees, domain_selection",117,135.66666666666666
swh_range_deseasonalized_detrended_min_2d,4.197579585517258,3,0.6,"random_forest, f_test, domain_selection",86,137.0
anom_swh_p75_deseasonalized_detrended_lag_14d,4.187191565326313,2,0.4,"mutual_info, domain_selection",4,89.5
swh_iqr_deseasonalized_detrended,4.1090040413867905,3,0.6,"random_forest, f_test, domain_selection",72,134.33333333333334
anom_iqr,4.086783465350413,2,0.4,"f_test, domain_selection",28,45.0
swh_iqr_deseasonalized_detrended_min_2d,4.0684022859377675,3,0.6,"extra_trees, f_test, domain_selection",49,128.0
swh_p60_deseasonalized_detrended_mean_7d,4.053324835591625,2,0.4,"random_forest, mutual_info",11,53.0
swh_p75_deseasonalized_detrended_min_2d,4.011980335726239,3,0.6,"random_forest, extra_trees, f_test",99,113.0
swh_p60_deseasonalized_detrended_max_7d,4.009086780446716,3,0.6,"random_forest, extra_trees, mutual_info",98,126.66666666666667
swh_p80_deseasonalized_detrended_lag_1d,4.000268246140155,2,0.4,"random_forest, domain_selection",55,85.0
