date,estimated_probability,calibrated_probability,optimal_threshold,predicted_event,observed_event,feature_set,lr_variant,cv_f1_score
2024-04-21,0.007137549226992597,0.00475301396698278,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-04-22,0.025714988771402797,0.022059300907344394,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-04-23,0.02782904619710847,0.024944237090003946,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-04-24,0.006915289591292806,0.004648760008075123,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-04-25,0.003752217019788222,0.0022411285298075453,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-04-26,0.004678148338831394,0.002895911730213002,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-04-27,0.004757785193269607,0.0029414152127292537,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-04-28,0.0033630165341348695,0.001964895281577905,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-04-29,0.002497249708944626,0.0013832744061353923,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-04-30,0.003608705000755788,0.0021332964903610623,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-05-01,0.00498021402147941,0.003183620146544099,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-05-02,0.005222080955893675,0.0033779270640283895,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-05-03,0.011267738109799402,0.008537905815829893,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-05-04,0.019230697833567206,0.016361701578408987,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-05-05,0.00998476005863435,0.007189528961691595,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-05-06,0.007767254417493371,0.00520473731065468,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-05-07,0.009777459770410288,0.006834942423618896,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-05-08,0.004915884566711294,0.003074399502813152,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-05-09,0.0018227337573416588,0.0009720188960206435,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-05-10,0.001866347999204349,0.0009857548297266365,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-05-11,0.004120389322490428,0.002496501158108674,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-05-12,0.004961443823087546,0.00321807731338989,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-05-13,0.002202869469635867,0.0012100320176206077,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-05-14,0.0016914451221688998,0.0008741647961506054,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-05-15,0.0020841919108786186,0.0011227146576003255,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-05-16,0.0013300315487953702,0.000671749445980932,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-05-17,0.0010514591121159847,0.0005104378672621179,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-05-18,0.001477829854580518,0.0007683848882718902,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-05-19,0.00224136206424486,0.0012851827160202016,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-05-20,0.007056117360778909,0.005341549191010086,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-05-21,0.014431732084233826,0.012891270703585256,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-05-22,0.008395063582356647,0.006095068837531686,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-05-23,0.007917808310126841,0.0053776432502278156,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-05-24,0.00665066892339537,0.0043536530064783655,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-05-25,0.0026742244252217482,0.001510305728860923,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-05-26,0.001985642310565327,0.0010599598123035502,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-05-27,0.003875598280273151,0.0023115803182843764,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-05-28,0.004125541094826552,0.0025477956171706014,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-05-29,0.00298617906368754,0.0017266288951159707,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-05-30,0.005702792317445501,0.0037210157457624425,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-05-31,0.0067995267576444075,0.0046227842754551895,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-06-01,0.0022376074972716817,0.001220900574533184,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
