rule_name,rule_type,n_folds_successful,f1_mean,precision_mean,recall_mean,accuracy_mean,f1_std,precision_std,recall_std,accuracy_std,f1_min,f1_max,f1_stability,tp_total,fp_total,tn_total,fn_total
anom_swh_p80_waverys > threshold,single,6,0.17996219211838907,0.11017706414684876,0.7594246031746031,0.8821917808219178,0.10659146199993623,0.07228282791300115,0.21784752017086542,0.03373313747204684,0.06451612903225806,0.30303030303030304,1.6883200626184687,33,240,1899,18
swh_p75_waverys > threshold,single,6,0.17411733478806649,0.10632275498891353,0.7589285714285715,0.8561643835616438,0.1339245468801137,0.0916198812857581,0.2655522526099396,0.09873282325772222,0.04878048780487805,0.35714285714285715,1.3001054604162363,37,301,1838,14
anom_swh_p80_deseasonalized > threshold,single,6,0.23735564238942686,0.22237119826778387,0.7150793650793651,0.9050228310502284,0.18225138302026717,0.2243980647236061,0.294013075536694,0.056750477981337526,0.05405405405405406,0.5,1.3023458923060116,29,186,1953,22
anom_swh_median_deseasonalized_detrended_mean_2d > threshold,single,6,0.18390722470179835,0.13299238103548938,0.6683531746031747,0.880365296803653,0.1615969831251148,0.13995624289754657,0.2889794618068608,0.05089306887851871,0.045454545454545456,0.45,1.1380539604842157,29,240,1899,22
swh_max_deseasonalized_detrended > threshold,single,6,0.22698052400754107,0.18171504776658357,0.758829365079365,0.8803652968036529,0.1975514213596698,0.19280176221871687,0.2273280967820426,0.06147414492920585,0.043478260869565216,0.47368421052631576,1.148963512799945,33,244,1895,18
anom_swh_mean_deseasonalized_detrended_max_2d > threshold,single,6,0.2118179054707862,0.1650317745054587,0.6802579365079365,0.8958904109589042,0.18645192691854195,0.17900744071216793,0.29269750213980533,0.047072288427209924,0.05,0.5142857142857142,1.1360395836710344,30,207,1932,21
anom_swh_mean_swan > threshold,single,6,0.2672718871176094,0.26120527306967983,0.7247023809523809,0.9141552511415526,0.2132003987844966,0.27883682743128047,0.2600567240364173,0.05133362496556071,0.05555555555555555,0.5806451612903226,1.253612258837791,30,167,1972,21
swh_p80_waverys > threshold,single,6,0.1732829535322901,0.10546230257510986,0.7589285714285715,0.8547945205479452,0.13198740278889826,0.08974405966977927,0.2655522526099396,0.10221785263658975,0.047619047619047616,0.3508771929824561,1.312864993217913,37,304,1835,14
anom_swh_p25 > threshold,single,6,0.2546783039961511,0.23495546094416153,0.7127976190476191,0.9136986301369863,0.21052229528530797,0.25505465054856424,0.25833436196854676,0.04754036516619438,0.058823529411764705,0.6,1.2097393005890529,29,167,1972,22
swh_p80_swan > threshold,single,6,0.2180878739626064,0.15453118037729355,0.7046626984126984,0.9082191780821919,0.15849466579521512,0.13156967536020758,0.2891069447303327,0.026661349316609018,0.05,0.391304347826087,1.3759863581657028,32,182,1957,19
anom_swh_median_deseasonalized_detrended_max_2d > threshold,single,6,0.2133593624557697,0.15819528516896939,0.7024801587301587,0.8972602739726029,0.18219032859644785,0.1722294499867355,0.27145478587557514,0.04179317131661064,0.05263157894736842,0.5142857142857142,1.1710730916747347,32,206,1933,19
swh_p80_deseasonalized_detrended_max_3d > threshold,single,6,0.20130539151440494,0.16985721190639222,0.6461309523809523,0.9004566210045662,0.1644704571069987,0.1712768322345662,0.3174653707435115,0.03888738466144541,0.0425531914893617,0.43902439024390244,1.2239533537022385,27,194,1945,24
swh_max_waverys > threshold,single,6,0.17139579144908926,0.1027276575305003,0.8136904761904762,0.8388127853881278,0.12758604456598258,0.08505346642056395,0.1643094358305324,0.1087283553512911,0.047619047619047616,0.3384615384615385,1.3433635995890685,38,340,1799,13
anom_swe_p80 > threshold,single,6,0.1784027235341085,0.11332247138957753,0.7726190476190475,0.8826484018264841,0.10298194028587287,0.07152286664742102,0.30272290376280586,0.05378289911945178,0.06666666666666667,0.3188405797101449,1.7323522035676588,30,236,1903,21
swh_cv_deseasonalized_detrended_min_5d > threshold,single,6,0.06437525156690242,0.03883306660614325,0.4555555555555555,0.6283105022831049,0.08399990637201521,0.052861231638838886,0.3243226559850316,0.22012580491190795,0.0,0.20588235294117646,0.766363773288391,16,779,1360,35
anom_swh_median_deseasonalized > threshold,single,6,0.23880159554334854,0.20819950658660336,0.6706349206349206,0.9187214611872146,0.1910649531927984,0.2179823803983127,0.31887581254250214,0.036125619185610566,0.058823529411764705,0.5333333333333333,1.2498385586383445,29,156,1983,22
