run,N_FISHERMEN,WAVE_THRESHOLD,min_duration,Year,Events,Avg_Obs_Duration,Avg_Predicted_Events,P99_Predicted_Events,TP_Events,FP_Events,FN_Events,Precision,Recall,F1_Score,Avg_Pred_Duration_Actual,Total_Obs_Days,Total_Pred_Days,Avg_Rate,Avg_Coverage,Avg_Duration,P99_Duration,Obs_Cost,Avg_Full_Cost,P99_Full_Cost,Avg_Capped_Cost,P99_Capped_Cost,Reliable_Events,Unreliable_Events,Reliable_Cost,Unreliable_Cost,run_name,mindur,source_file
run_g5,3853,1.75,5,2024,2,5.0,12.4,17.00999999999999,2.0,13.0,0.0,0.1333333333333333,1.0,0.2352941176470588,6.666666666666667,10.0,100.0,0.1619999999999999,0.8050402684563759,10.935551294343242,32.53499999999997,462360,1011232.299290508,3008576.519999997,677525.6405246404,2015746.268399998,2.0,0.0,462360.0,0.0,run_g5,5,yearly_summary_run_g5_mindur5.csv
run_g5,3853,1.75,7,2021,2,8.5,7.292,12.0,2.0,9.0,0.0,0.1818181818181818,1.0,0.3076923076923077,11.0,17.0,121.0,0.1463749999999999,0.7779025827035209,12.31386957130522,29.58499999999998,786012,1138688.1469977363,2735784.1199999982,762921.0584884834,1832975.3603999987,2.0,0.0,786012.0,0.0,run_g5,7,yearly_summary_run_g5_mindur7.csv
run_g5,3853,1.75,7,2023,2,7.5,7.292,12.0,2.0,6.0,0.0,0.25,1.0,0.4,10.0,15.0,80.0,0.1387499999999999,0.8228922859230563,12.570252496549484,30.5,693540,1162396.388860924,2820396.0,778805.5805368191,1889665.32,2.0,0.0,693540.0,0.0,run_g5,7,yearly_summary_run_g5_mindur7.csv
run_g6,2827,1.5,3,2018,6,4.666666666666667,26.439,34.0,6.0,28.0,1.0,0.1764705882352941,0.8571428571428571,0.2926829268292683,5.676470588235294,28.0,193.0,0.1033333333333333,0.7258630403869547,6.2734100925295175,17.099999999999998,949872,1276914.983873828,3480602.4,855533.0391954648,2332003.608,2.0,4.0,237468.0,712404.0,run_g6,3,yearly_summary_run_g6_mindur3.csv
run_g6,2827,1.5,3,2019,4,3.5,26.439,34.0,0.0,31.0,4.0,0.0,0.0,0.0,5.903225806451613,14.0,183.0,0.1975,0.9126136224395414,13.24637124439384,36.0275,474936,1797479.5923792666,4888787.640000001,1204311.326894109,3275487.7188000004,4.0,0.0,474936.0,0.0,run_g6,3,yearly_summary_run_g6_mindur3.csv
run_g6,2827,1.5,3,2020,1,13.0,26.444,34.0,2.0,24.0,0.0,0.0769230769230769,1.0,0.1428571428571428,7.923076923076923,13.0,206.0,0.06475,0.594000594000594,8.938223938223938,19.419999999999987,441012,303220.3088803089,658804.0799999996,203157.60694980697,441398.73359999974,0.0,1.0,0.0,441012.0,run_g6,3,yearly_summary_run_g6_mindur3.csv
run_g6,2827,1.5,3,2021,3,5.0,26.501,34.0,1.0,19.0,2.0,0.05,0.3333333333333333,0.0869565217391304,10.0,15.0,200.0,0.1499166666666666,0.7979067260633256,11.608646664686557,28.963333333333328,508860,1181435.1883584803,2947656.3599999994,791561.5762001819,1974929.7611999996,2.0,1.0,237468.0,271392.0,run_g6,3,yearly_summary_run_g6_mindur3.csv
run_g6,2827,1.5,3,2022,2,24.0,26.493,34.0,3.0,18.0,0.0,0.1428571428571428,1.0,0.25,10.285714285714286,48.0,216.0,0.13125,0.5617030382655382,16.1929077515015,38.5,1628352,1098656.4051238738,2612148.0,736099.7914329956,1750139.16,1.0,1.0,508860.0,1119492.0,run_g6,3,yearly_summary_run_g6_mindur3.csv
run_g6,2827,1.5,3,2023,12,4.333333333333333,26.642,34.0,3.0,21.0,9.0,0.125,0.25,0.1666666666666666,7.666666666666667,52.0,184.0,0.1269375,0.8083843785944019,9.23851670056798,25.80916666666666,1764048,3760889.2866008184,10506602.039999995,2519795.8220225484,7039423.366799998,6.0,6.0,712404.0,1051644.0,run_g6,3,yearly_summary_run_g6_mindur3.csv
run_g6,2827,1.5,3,2024,6,4.666666666666667,26.447,34.0,4.0,25.0,2.0,0.1379310344827586,0.6666666666666666,0.2285714285714286,6.448275862068965,28.0,187.0,0.1455833333333333,0.7778229678595983,9.520106815751149,27.21833333333336,949872,1937760.6217052515,5540128.440000006,1298299.6165425188,3711886.054800004,4.0,2.0,644556.0,305316.0,run_g6,3,yearly_summary_run_g6_mindur3.csv
run_g6,2827,1.5,5,2018,2,7.0,15.612,21.0,0.0,16.0,2.0,0.0,0.0,0.0,8.1875,14.0,131.0,0.017375,0.6233133433283359,6.187593703148426,12.170000000000002,474936,419815.8575712144,825710.1600000001,281276.6245727137,553225.8072000002,0.0,2.0,0.0,474936.0,run_g6,5,yearly_summary_run_g6_mindur5.csv
run_g6,2827,1.5,5,2019,1,5.0,15.612,21.0,0.0,15.0,1.0,0.0,0.0,0.0,8.8,5.0,132.0,0.2215,0.871783295711061,13.838600451467268,36.0,169620,469460.6817155756,1221264.0,314538.65674943564,818246.88,1.0,0.0,169620.0,0.0,run_g6,5,yearly_summary_run_g6_mindur5.csv
run_g6,2827,1.5,5,2020,1,13.0,15.615,21.0,1.0,12.0,0.0,0.0769230769230769,1.0,0.1428571428571428,12.538461538461538,13.0,163.0,0.06475,0.594000594000594,8.938223938223938,19.419999999999987,441012,303220.3088803089,658804.0799999996,203157.60694980697,441398.73359999974,0.0,1.0,0.0,441012.0,run_g6,5,yearly_summary_run_g6_mindur5.csv
run_g6,2827,1.5,5,2021,1,8.0,15.618,21.0,1.0,14.0,0.0,0.0666666666666666,1.0,0.125,12.066666666666666,8.0,181.0,0.011,0.5965909090909091,5.5227272727272725,8.57,271392,187353.0,290728.68,125526.51,194788.21560000005,0.0,1.0,0.0,271392.0,run_g6,5,yearly_summary_run_g6_mindur5.csv
run_g6,2827,1.5,5,2022,2,24.0,15.617,21.0,3.0,11.0,0.0,0.2142857142857142,1.0,0.3529411764705882,13.714285714285714,48.0,192.0,0.13125,0.5617030382655382,16.1929077515015,38.5,1628352,1098656.4051238738,2612148.0,736099.7914329956,1750139.16,1.0,1.0,508860.0,1119492.0,run_g6,5,yearly_summary_run_g6_mindur5.csv
run_g6,2827,1.5,5,2023,2,9.5,15.62,21.0,2.0,15.0,0.0,0.1176470588235294,1.0,0.2105263157894736,9.352941176470589,19.0,159.0,0.116375,0.6407112476024539,11.649969252844112,26.785,644556,790427.1138669673,1817308.68,529586.1662908681,1217596.8156,1.0,1.0,169620.0,474936.0,run_g6,5,yearly_summary_run_g6_mindur5.csv
run_g6,2827,1.5,5,2024,3,5.666666666666667,15.614,21.0,2.0,16.0,1.0,0.1111111111111111,0.6666666666666666,0.1904761904761905,8.38888888888889,17.0,151.0,0.1364166666666666,0.8783917713792059,10.583076613882948,28.410000000000007,576708,1077060.873148095,2891342.5200000005,721630.7850092239,1937199.4884000008,2.0,1.0,407088.0,169620.0,run_g6,5,yearly_summary_run_g6_mindur5.csv
run_g6,2827,1.5,7,2018,1,8.0,10.12,14.0,0.0,10.0,1.0,0.0,0.0,0.0,9.6,8.0,96.0,0.0065,0.8365384615384616,7.769230769230769,10.0,271392,263563.3846153846,339240.0,176587.4676923077,227290.8,0.0,1.0,0.0,271392.0,run_g6,7,yearly_summary_run_g6_mindur7.csv
run_g6,2827,1.5,7,2020,1,13.0,10.12,14.0,1.0,7.0,0.0,0.125,1.0,0.2222222222222222,17.0,13.0,136.0,0.0505,0.6313785224676313,9.767326732673268,19.99000000000001,441012,331346.7920792079,678140.7600000004,222002.3506930693,454354.30920000025,0.0,1.0,0.0,441012.0,run_g6,7,yearly_summary_run_g6_mindur7.csv
run_g6,2827,1.5,7,2021,1,8.0,10.12,14.0,0.0,13.0,1.0,0.0,0.0,0.0,13.153846153846152,8.0,171.0,0.00125,0.65,7.8,8.96,271392,264607.2,303959.04,177286.82400000002,203652.5568,0.0,1.0,0.0,271392.0,run_g6,7,yearly_summary_run_g6_mindur7.csv
